OrderID,OrderDate,Region,State,Product,Quantity,UnitPrice_INR,DiscountPct,Revenue_INR,CustomerSegment
ORD100000,2024-10-20,South,Karnataka,Smartphone,1,18284,5,17369.8,Retail
ORD100001,2024-02-20,West,Maharashtra,Headphones,1,1274,0,1274.0,Retail
ORD100002,2024-09-20,West,Maharashtra,Smartphone,1,34464,0,34464.0,Retail
ORD100003,2024-09-26,West,Gujarat,Shoes,1,5498,10,4948.2,Wholesale
ORD100004,2024-06-05,South,Tamil Nadu,Smartphone,1,29823,0,29823.0,Online
ORD100005,2024-08-18,North,Haryana,Wristwatch,1,3634,0,3634.0,Retail
ORD100006,2024-04-10,West,Maharashtra,Shoes,1,3431,0,3431.0,Online
ORD100007,2024-08-09,West,Maharashtra,Backpack,1,2281,0,2281.0,Retail
ORD100008,2024-02-13,East,Bihar,Sunglasses,1,1897,5,1802.15,Retail
ORD100009,2024-05-16,West,Gujarat,Smartphone,1,33813,0,33813.0,Retail
ORD100010,2024-03-21,East,Odisha,Headphones,3,4104,0,12312.0,Retail
ORD100011,2024-09-03,West,Gujarat,Smartphone,1,29912,0,29912.0,Retail
ORD100012,2024-12-14,West,Rajasthan,Headphones,1,3731,0,3731.0,Online
ORD100013,2024-05-30,South,Kerala,Shoes,1,1188,5,1128.6,Retail
ORD100014,2024-01-09,East,Bihar,Shoes,1,4423,5,4201.85,Retail
ORD100015,2024-08-14,West,Rajasthan,Jacket,1,2245,5,2132.75,Retail
ORD100016,2024-05-14,West,Maharashtra,Smartphone,1,27817,0,27817.0,Wholesale
ORD100017,2024-08-13,South,Kerala,Wristwatch,1,2585,5,2455.75,Retail
ORD100018,2024-04-08,East,Bihar,Backpack,1,946,10,851.4,Wholesale
ORD100019,2024-11-18,West,Maharashtra,Wristwatch,3,1492,0,4476.0,Retail
ORD100020,2024-04-13,East,Bihar,Jacket,3,3337,0,10011.0,Retail
ORD100021,2024-11-16,West,Rajasthan,Headphones,1,2641,5,2508.95,Retail
ORD100022,2024-02-27,South,Tamil Nadu,Jacket,1,4061,5,3857.95,Retail
ORD100023,2024-12-15,North,Punjab,Headphones,1,3924,0,3924.0,Retail
ORD100024,2024-04-26,East,West Bengal,Laptop Sleeve,1,1669,0,1669.0,Retail
ORD100025,2024-10-04,South,Karnataka,Smartphone,2,34425,0,68850.0,Wholesale
